,id,date,title,tags,views,comments,likes
40,9WjOqi_OUps,2024-04-10T20:45:26Z,Booger McFarland shares his dream scenario for Bears in NFL Draft | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Booger McFarland', 'nfl draft', 'Ryan Poles', 'Poles Position', 'Bears', 'Rome Odunze', 'Jayden Daniels', 'Malik Nabers', 'Booger draft', 'draft coverage', 'Bears draft', '2024 nfl draft']",26815,76,347
41,882zEApqm9I,2024-04-11T17:26:35Z,Shaun King shares his concerns about Caleb Williams | Bernstein & Holmes,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Caleb Williams', 'Shaun King', 'nfl draft', '2024 nfl draft', 'Bears quarterback']",5653,123,94
42,Gk9_MWY1mYY,2024-04-29T18:05:30Z,Caleb Williams is 'most gifted quarterback to ever put on a Bears uniform' | Bernstein & Holmes,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Bears draft', 'Caleb Williams', 'Bears qb', 'Rome Odunze', 'Kiran Amegadjie', 'Tory Taylor', 'Austin Booker', 'nfl draft', 'Bears draft picks', '2024 nfl draft', '2024 Bears draft']",36616,184,552
43,SIjaLiMuF0w,2024-04-30T19:12:02Z,"Tim Jenkins breaks down how Shane Waldron, Bears should deploy Caleb Williams | Bernstein & Holmes","['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Tim Jenkins', 'Tim Jenkins Caleb Williams', 'Caleb Williams', 'Shane Waldron', 'DJ Moore', 'Rome Odunze', 'Keenan Allen', 'Bears offense', 'nfl draft', 'USC', 'Seattle Seahawks', 'Waldron offense', 'Bears OC', 'Bears quarterback']",43371,106,658
44,b71u4Jr9qYc,2024-04-30T21:52:03Z,Caleb Williams' quarterbacks coach: 'He's hungry for structure' | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Caleb Williams', 'Caleb Williams coach', 'Will Hewlett', 'Shane Waldron', 'Bears QB', 'Caleb Williams quarterback coach', 'quarterback collective']",35399,95,668
45,lDBKmxde3Rc,2024-05-06T21:28:23Z,Cole Kmet talks Cubs game with Caleb Williams | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Chicago Cubs', 'Cole Kmet', 'Caleb Williams', 'Mitch Trubisky', 'Justin Fields', 'Bears tight end']",34164,53,551
46,vd0syuSbKlQ,2024-05-10T21:52:22Z,Evaluating Caleb Williams’ first practice with the Bears | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy']",38158,74,476
47,zYHrA2WMUgo,2024-05-13T20:38:04Z,What stood out at Bears rookie minicamp? | Bernstein & Holmes,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Bears', 'Bears rookie minicamp', 'Dan Wiederer', 'Caleb Williams', 'Austin Booker', 'Rome Odunze', 'Tory Taylor', 'Ryan Poles', 'Matt Eberflus', 'Shane Waldron', 'nfl draft', 'Bears draft']",30857,47,422
48,XcnuzkNf6Qo,2024-05-21T18:14:53Z,Brett Kollmann: NFC North defenses should be scared of the Caleb Williams-led Bears offense,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy']",39847,96,662
49,R_O1znhRHB0,2024-05-23T22:58:25Z,Caleb Williams struggles as first week of Bears OTAs wraps up | Parkins & Spiegel,"['670 the Score', 'Chicago sports', 'Sports Talk Radio', 'Audacy', 'Chicago Bears', 'nfl', 'football', 'Caleb Williams', 'Mark Grote', 'Bears report', 'Bears OTAs', 'Rome Odunze', 'Matt Eberflus', 'Bears', 'Bears practice']",24578,144,312
